event_id    , title                                                                 , Artist_name                                                , description                                                                                                                                                                                                                                     , category                        , audience, tags                                                                                                                           , date_start, doors_open_time, date_end, time_start , duration_min, venue_name                                                       , venue_address                               , localidad                , city  , lat        , lon         , price_min_cop, price_max_cop, is_free  , age_min        , organizer_name                                                       , source_name , source_url                                                              , image_url
BOG-0023    , ORG@SMO � Todos venimos de al menos uno                               , Antonio Sanint                                             , Teatro / Comedia                                                                                                                                                                                                                                , Teatro                          , Ni�os   , "comedia, sexualidad, Antonio Sanint, teatro Bogot�, Teatro Cafam"                                                             , 29/11/25  , 16:00          , 29/11/25, 16:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 11             , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0024    , As� fue mi padre � Porque sigue siendo el rey                         , Jos� Alfredo Jim�nez Medel                                 , Teatro / M�sica                                                                                                                                                                                                                                 , Teatro / M�sica                 , Jovenes , "Jos� Alfredo Jim�nez, homenaje, teatro musical, Bogot�, Teatro Cafam"                                                         , 22/11/25  , 17:00          , 22/11/25, 17:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 12             , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0025    , As� fue mi padre � Porque sigue siendo el rey                         , Jos� Alfredo Jim�nez Medel                                 , Teatro / M�sica                                                                                                                                                                                                                                 , Teatro / M�sica                 , Jovenes , "Jos� Alfredo Jim�nez, homenaje, teatro musical, Bogot�, Teatro Cafam"                                                         , 23/11/25  , 11:00          , 23/11/25, 11:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 12             , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0026    , Cl�sicos Navide�os                                                    , M�s de 25 artistas                                         , M�sica / Familiar                                                                                                                                                                                                                               , M�sica / Familiar               , Ni�os   , "navidad, villancicos, familia, Teatro Cafam, Bogot�, m�sica colombiana"                                                       , 06/12/25  , 19:00          , 06/12/25, 19:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0027    , Cl�sicos Navide�os                                                    , M�s de 25 artistas                                         , M�sica / Familiar                                                                                                                                                                                                                               , M�sica / Familiar               , Ni�os   , "navidad, villancicos, familia, Teatro Cafam, Bogot�, m�sica colombiana"                                                       , 07/12/25  , 10:00          , 07/12/25, 10:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0028    , El Cascanueces y el Rey de los Ratones                                , Ballet / Producci�n Internacional                          , Teatro / Familiar                                                                                                                                                                                                                               , Teatro / Familiar               , Ni�os   , "Cascanueces, navidad, familia, teatro, Bogot�, Teatro Cafam"                                                                  , 18/12/25  , 19:00          , 18/12/25, 19:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 4              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0029    , El Cascanueces y el Rey de los Ratones                                , Ballet / Producci�n Internacional                          , Teatro / Familiar                                                                                                                                                                                                                               , Teatro / Familiar               , Ni�os   , "Cascanueces, navidad, familia, teatro, Bogot�, Teatro Cafam"                                                                  , 19/12/25  , 19:00          , 19/12/25, 19:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 4              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0030    , Los Hispanos vs Graduados                                             , Los Hispanos & Los Graduados                               , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "Los Hispanos, Los Graduados, versus, concierto, Bogot�, Teatro Cafam"                                                         , 20/12/25  , 19:00          , 20/12/25, 19:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0031    , Los Hispanos vs Graduados                                             , Los Hispanos & Los Graduados                               , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "Los Hispanos, Los Graduados, versus, concierto, Bogot�, Teatro Cafam"                                                         , 21/12/25  , 15:00          , 21/12/25, 15:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0032    , La Pelota de Letras                                                   , Andr�s L�pez                                               , Teatro / Comedia                                                                                                                                                                                                                                , Teatro / Comedia                , Ni�os   , "Andr�s L�pez, generaciones, humor, stand-up, familia, Bogot�, Teatro Cafam"                                                   , 31/01/26  , 20:00          , 31/01/26, 20:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0033    , La Pelota de Letras                                                   , Andr�s L�pez                                               , Teatro / Comedia                                                                                                                                                                                                                                , Teatro / Comedia                , Ni�os   , "Andr�s L�pez, generaciones, humor, stand-up, familia, Bogot�, Teatro Cafam"                                                   , 01/02/26  , 17:00          , 01/02/26, 17:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0034    , La Pelota de Letras                                                   , Andr�s L�pez                                               , Teatro / Comedia                                                                                                                                                                                                                                , Teatro / Comedia                , Ni�os   , "Andr�s L�pez, generaciones, humor, stand-up, familia, Bogot�, Teatro Cafam"                                                   , 02/02/26  , 17:00          , 02/02/26, 17:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0035    , La Pelota de Letras                                                   , Andr�s L�pez                                               , Teatro / Comedia                                                                                                                                                                                                                                , Teatro / Comedia                , Ni�os   , "Andr�s L�pez, generaciones, humor, stand-up, familia, Bogot�, Teatro Cafam"                                                   , 07/02/26  , 20:00          , 07/02/26, 20:00      ,           90, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
